team,power_score_v3
Gambia,0.45351778732232073
Philippines,0.4528552181640517
Saint Kitts and Nevis,0.4480286792340333
North Korea,0.4470279351708495
French Guiana,0.4415817140371458
Samoa,0.4415512869480204
Papua New Guinea,0.4381448679149157
Sierra Leone,0.4319066798133344
Malaysia,0.429019581108278
Saint Lucia,0.42877508502261835
Armenia,0.42689089138647984
Zimbabwe,0.4234729689366984
Togo,0.42287548111023693
Sint Maarten,0.4213425382220454
Sudan,0.41860048143046075
Congo,0.4176339762852112
Madagascar,0.41597624399266075
Fiji,0.4159024741282378
Tanzania,0.41333428782637976
Indonesia,0.4022414058139381
Martinique,0.4015625961320417
Belize,0.4013828213005847
Kazakhstan,0.3971970114501613
Antigua and Barbuda,0.3930446780756477
Guinea-Bissau,0.3920021141200714
Rwanda,0.3895361172882617
Malawi,0.3880994327933424
Namibia,0.38586576678153334
Yemen,0.3829453850837776
Niger,0.38141408607729393
Solomon Islands,0.38104378191547544
Ethiopia,0.3808366264339018
Botswana,0.379104239998334
Cyprus,0.37879387810764736
Comoros,0.3724682191893269
Burundi,0.37053372438573495
Mauritania,0.3678020349925051
Belarus,0.36740630332237184
Barbados,0.3646963513050988
Liberia,0.36414015231469565
Singapore,0.35672438117410815
Cuba,0.3566627799605086
Tahiti,0.3560076921461024
Saint Vincent and the Grenadines,0.3506573624035305
Central African Republic,0.34704548672607743
Hong Kong,0.3460494144024865
Latvia,0.33748743792585434
Grenada,0.3249109085292782
Azerbaijan,0.3209005517872855
Luxembourg,0.3151505209633861
India,0.3140819105899338
Aruba,0.312072795475123
Mongolia,0.3044595162532353
Montserrat,0.3010616353800257
Estonia,0.29390508848941754
Maldives,0.2836006327488656
Lesotho,0.282937060195021
Lithuania,0.2794461186452343
Tonga,0.2784930275418003
Chad,0.2770433335490725
Eritrea,0.2766424659390444
Afghanistan,0.27664043175916947
Eswatini,0.2766040390344928
South Sudan,0.27395551858367523
Dominica,0.26482777940620833
Bahamas,0.26345493402006237
Moldova,0.2615488531001036
Cayman Islands,0.2579918721567527
Myanmar,0.2561286116722068
Faroe Islands,0.2556359638467457
Cook Islands,0.2530442488258797
Malta,0.24751568047205735
Brunei,0.23872139383024055
Sri Lanka,0.2166975959108247
Mauritius,0.21392143441694964
Cambodia,0.1960682724060555
American Samoa,0.1953598953074222
Bangladesh,0.18847704822564051
São Tomé and Príncipe,0.18756730122173654
Turks and Caicos Islands,0.16454401710367283
Taiwan,0.16354700323707505
British Virgin Islands,0.14773584535812231
Somalia,0.14731634981262406
Pakistan,0.14069093597424956
Guam,0.13603057411356675
Nepal,0.13594207779051073
United States Virgin Islands,0.10510611950246032
Laos,0.0977692114882096
Macau,0.0971294162097629
Andorra,0.08775746259165232
Bhutan,0.08477945886217461
Seychelles,0.0684102267412195
Djibouti,0.06539398360497306
Liechtenstein,0.055235707402921524
Timor-Leste,0.02702932509999617
Anguilla,0.0006399476944186633
Gibraltar,-0.015932310357289425
San Marino,-0.11284365083318651
